,date,team1,team1_score,team2,team2_score,winner,map
587,2022-01-25 19:30,HAVU,16,Lynn Vision,8,HAVU,Dust2
588,2022-01-25 19:30,HAVU,16,Lynn Vision,12,HAVU,Ancient
589,2022-01-18 09:00,Apeks,16,MASONIC,7,Apeks,Ancient
590,2022-01-19 09:00,LookingForOrg,16,MASONIC,13,LookingForOrg,Nuke
591,2022-01-17 12:00,Savage,16,MASONIC,2,Savage,Dust2
592,2022-01-16 20:20,MIBR fe,14,Liberty fe,16,Liberty fe,Mirage
593,2022-01-29 21:05,MIBR,9,Astralis,16,Astralis,Overpass
594,2021-12-18 21:20,Liberty,11,MIBR,16,MIBR,Vertigo
595,2021-12-18 01:55,MIBR,11,Sharks,16,Sharks,Inferno
596,2021-12-21 23:20,Sharks,16,MIBR,8,Sharks,Inferno
597,2021-12-19 23:20,MIBR,16,SWS,11,MIBR,Nuke
598,2021-12-15 02:00,MIBR,16,X13,14,MIBR,Overpass
599,2022-01-02 19:00,MongolZ,4,ChocoCheck,16,ChocoCheck,Vertigo
600,2022-01-16 16:00,1shot,3,MONKE,16,MONKE,Mirage
601,2022-01-16 16:00,1shot,16,MONKE,10,1shot,Inferno
602,2021-12-19 13:30,Moon,5,Born in the East,16,Born in the East,Vertigo
603,2022-01-04 17:00,Eternal Fire Academy,9,MOUZ NXT,16,MOUZ NXT,Inferno
604,2022-01-06 20:30,FURIA Academy,5,MOUZ NXT,16,MOUZ NXT,Mirage
605,2022-01-27 13:05,MOUZ NXT,17,K23,19,K23,Ancient
606,2022-01-24 15:30,MOUZ NXT,12,Savage,16,Savage,Ancient
607,2022-01-24 15:30,MOUZ NXT,16,Savage,8,MOUZ NXT,Dust2
608,2022-01-28 15:25,MOUZ NXT,16,SAW,13,MOUZ NXT,Ancient
609,2022-01-08 19:25,Spirit Academy,6,MOUZ NXT,16,MOUZ NXT,Mirage
610,2022-01-25 18:30,MOUZ NXT,14,Tricked,16,Tricked,Nuke
611,2022-01-25 18:30,MOUZ NXT,13,Tricked,16,Tricked,Vertigo
612,2022-01-26 16:05,MOUZ NXT,16,Unique,7,MOUZ NXT,Dust2
613,2022-01-12 19:20,MOUZ NXT,16,VP.Prodigy,12,MOUZ NXT,Vertigo
614,2021-12-19 18:00,GAIJIN,16,mYinsanity,11,GAIJIN,Inferno
615,2021-12-17 16:30,Natus Vincere,19,G2,22,G2,Inferno
616,2021-12-17 16:30,Natus Vincere,16,G2,4,Natus Vincere,Mirage
617,2021-12-19 18:30,Gambit,11,Natus Vincere,16,Natus Vincere,Ancient
618,2021-12-19 18:30,Gambit,6,Natus Vincere,16,Natus Vincere,Inferno
619,2021-12-15 19:45,Natus Vincere,16,Heroic,6,Natus Vincere,Mirage
620,2021-12-18 19:35,Natus Vincere,16,Liquid,11,Natus Vincere,Inferno
621,2022-01-29 15:00,Natus Vincere,12,MIBR,16,MIBR,Dust2
622,2021-12-19 14:30,Vitality,5,Natus Vincere,16,Natus Vincere,Dust2
623,2022-01-15 16:00,NAVI Junior,16,Astralis Talent,14,NAVI Junior,Overpass
624,2022-01-05 20:25,Astralis Talent,16,NAVI Junior,13,Astralis Talent,Vertigo
625,2022-01-15 16:00,NAVI Junior,8,Astralis Talent,16,Astralis Talent,Vertigo
626,2022-01-03 19:25,BIG Academy,4,NAVI Junior,16,NAVI Junior,Inferno
627,2022-01-07 19:25,fnatic Rising,23,NAVI Junior,25,NAVI Junior,Vertigo
628,2022-01-11 19:50,NAVI Junior,11,Young Ninjas,16,Young Ninjas,Mirage
629,2021-12-16 19:00,Nemiga,9,1shot,16,1shot,Mirage
630,2022-01-25 19:00,1WIN,10,Nemiga,16,Nemiga,Mirage
631,2022-01-25 19:00,1WIN,16,Nemiga,4,1WIN,Dust2
632,2022-02-01 19:00,1WIN,16,Nemiga,8,1WIN,Dust2
633,2021-12-17 12:00,Copenhagen Flames,0,Nemiga,16,Nemiga,Overpass
634,2021-12-15 12:00,ECSTATIC,13,Nemiga,16,Nemiga,Dust2
635,2022-01-26 19:00,Entropiq,16,Nemiga,8,Entropiq,Overpass
636,2022-01-30 09:50,HEET,13,Nemiga,16,Nemiga,Nuke
637,2022-01-30 09:50,HEET,1,Nemiga,16,Nemiga,Inferno
638,2021-12-18 16:00,Nemiga,7,LDLC,16,LDLC,Inferno
639,2021-12-18 16:00,Nemiga,6,LDLC,16,LDLC,Nuke
640,2021-12-17 16:00,Linx Legacy,6,Nemiga,16,Nemiga,Inferno
641,2022-01-19 16:00,Nemiga,16,PACT,3,Nemiga,Nuke
642,2022-01-19 10:00,Nexus,19,Ambush,22,Ambush,Inferno
643,2022-01-23 19:00,Nexus,7,ECSTATIC,16,ECSTATIC,Vertigo
644,2022-01-21 10:00,Nexus,16,Into the Breach,10,Nexus,Ancient
645,2021-12-16 13:30,NIP,16,Astralis,14,NIP,Mirage
646,2021-12-16 13:30,NIP,16,Astralis,19,Astralis,Nuke
647,2022-01-28 16:20,NIP,16,BIG,12,NIP,Overpass
648,2021-12-15 13:30,G2,16,NIP,11,G2,Dust2
649,2022-01-28 22:00,G2,22,NIP,19,G2,Mirage
650,2021-12-18 08:00,NKT,10,Checkmate,16,Checkmate,Inferno
651,2022-01-30 16:45,Enterprise,7,NLG,16,NLG,Ancient
652,2021-12-16 02:30,Northern Forces,10,Third Impact,16,Third Impact,Mirage
653,2021-12-16 02:30,Northern Forces,7,Third Impact,16,Third Impact,Overpass
654,2021-12-17 02:00,Northern Forces,9,Valors,16,Valors,Overpass
655,2021-12-15 10:30,Meinser,12,Nut-E,16,Nut-E,Dust2
656,2021-12-15 10:30,Meinser,13,Nut-E,16,Nut-E,Mirage
657,2022-01-18 13:00,OFFSET,4,B8,16,B8,Nuke
658,2022-01-18 16:40,eSuba,2,OFFSET,16,OFFSET,Nuke
659,2022-01-17 14:30,Into the Breach,16,OFFSET,11,Into the Breach,Inferno
660,2022-01-29 16:45,Astralis,8,OG,16,OG,Ancient
661,2022-01-29 22:35,OG,16,Astralis,8,OG,Inferno
662,2022-01-29 18:05,MIBR,9,OG,16,OG,Ancient
663,2022-01-09 15:10,okura,14,Doge Soldiers,16,Doge Soldiers,Mirage
664,2022-01-09 15:10,okura,11,Doge Soldiers,16,Doge Soldiers,Nuke
665,2021-12-25 18:00,okura,13,IKIGAI,16,IKIGAI,Ancient
666,2021-12-25 18:00,okura,17,IKIGAI,19,IKIGAI,Mirage
667,2022-01-23 16:30,Omega,11,Fragging for Jason,16,Fragging for Jason,Mirage
668,2022-01-16 01:40,ONET4P,16,Big Chillin,4,ONET4P,Inferno
669,2022-01-16 22:00,RBG,16,ONET4P,1,RBG,Vertigo
670,2022-01-02 20:00,RBG,16,ONET4P,5,RBG,Nuke
671,2022-01-02 20:00,RBG,16,ONET4P,7,RBG,Inferno
672,2022-01-30 00:45,ONET4P,9,RBG,16,RBG,Vertigo
673,2022-02-02 02:00,ONET4P,12,Valors,16,Valors,Mirage
674,2021-12-15 02:00,ONET4P,16,voLante,11,ONET4P,Nuke
675,2022-01-20 12:35,Apeks,16,OneTap,13,Apeks,Overpass
676,2022-01-18 09:00,Enterprise,16,OneTap,11,Enterprise,Inferno
677,2022-01-18 09:00,Enterprise,16,OneTap,11,Enterprise,Inferno
678,2022-01-19 09:00,OneTap,19,eSuba,17,OneTap,Overpass
679,2022-01-17 09:00,OneTap,10,Tricked,16,Tricked,Nuke
680,2021-12-15 10:00,8Ballers,0,ORDER,16,ORDER,Dust2
681,2021-12-20 08:00,ORDER,14,LookingForOrg,16,LookingForOrg,Nuke
682,2021-12-20 08:00,ORDER,16,LookingForOrg,14,ORDER,Overpass
683,2021-12-20 08:00,ORDER,13,LookingForOrg,16,LookingForOrg,Vertigo
684,2021-12-16 10:00,Paradox,8,ORDER,16,ORDER,Vertigo
685,2021-12-17 10:00,VERTEX,19,ORDER,22,ORDER,Overpass
686,2022-01-31 01:00,ChocoCheck,13,Orgless,16,Orgless,Inferno
687,2022-01-30 22:00,Orgless,16,Strife,7,Orgless,Overpass
688,2022-01-30 00:30,Orgless,16,Third Impact,9,Orgless,Overpass
689,2021-12-16 10:30,Hazard,16,Overt,14,Hazard,Vertigo
690,2021-12-15 10:00,Overt,11,VERTEX,16,VERTEX,Vertigo
691,2022-01-18 16:00,PACT,16,cowana,7,PACT,Vertigo
692,2021-12-18 19:00,PACT,14,Into the Breach,16,Into the Breach,Ancient
693,2021-12-16 16:15,LDLC,16,PACT,13,LDLC,Nuke
694,2022-01-22 16:00,Los Reyes,16,PACT,14,Los Reyes,Ancient
695,2022-01-19 16:00,Nemiga,16,PACT,8,Nemiga,Inferno
696,2021-12-17 19:00,PACT,16,Tricked,14,PACT,Vertigo
697,2021-12-17 19:00,PACT,8,Tricked,16,Tricked,Overpass
698,2021-12-17 19:00,PACT,16,Tricked,12,PACT,Nuke
699,2021-12-19 02:00,ChocoCheck,13,paiN,16,paiN,Inferno
700,2021-12-19 02:00,ChocoCheck,16,paiN,14,ChocoCheck,Ancient
701,2021-12-17 02:00,Party Astronauts,2,paiN,16,paiN,Overpass
702,2021-12-15 02:00,paiN,16,RBG,3,paiN,Overpass
703,2021-12-18 02:00,paiN,10,RBG,16,RBG,Inferno
704,2021-12-16 02:00,paiN,16,TeamOne,8,paiN,Overpass
705,2021-12-15 10:00,Paradox,16,1620 Kings,1,Paradox,Inferno
706,2021-12-18 10:00,Paradox,16,LookingForOrg,13,Paradox,Overpass
707,2021-12-18 10:00,Paradox,4,LookingForOrg,16,LookingForOrg,Nuke
708,2021-12-16 10:00,Paradox,16,ORDER,19,ORDER,Dust2
709,2021-12-17 10:00,Paradox,16,Overt,13,Paradox,Vertigo
