,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
715,Party Astronauts,cynic,25,1,15,73.3%,74.9,1.19,,25,,,,
716,Party Astronauts,djay,25,5,20,63.3%,83.9,1.19,,,,,,
717,Triumph,cxzi,28,4,20,76.9%,104.7,1.50,1.50,28,104.7,,,
718,Party Astronauts,cynic,30,1,12,81.8%,125.0,1.93,1.93,30,125.0,,,
719,Party Astronauts,ben1337,27,4,16,83.3%,110.8,1.57,1.57,27,110.8,,,
720,ATK,Fadey,20,2,24,61.5%,84.9,1.05,,,,,,7
721,RBG,chop,23,1,22,73.3%,77.1,1.10,,,,,,
722,Paying Myself,Cooper,19,4,17,69.6%,85.8,1.06,,,,,,
723,Protos,filliaN,18,3,17,54.5%,68.5,0.96,,,,,,
724,Protos,R1o,33,4,18,76.5%,100.1,1.54,1.54,,100.1,,21,
725,Protos,space,25,3,10,95.2%,121.8,2.00,2.00,25,121.8,,,6
726,ATK,JAM,24,2,13,84.0%,79.6,1.50,1.50,24,,,12,
727,RBG,jitter,13,4,15,65.2%,61.0,0.93,,,,,,4
