,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
921,Unique,icem4N,27,4,18,69.2%,107.6,1.38,,27,107.6,,,
922,MOUZ NXT,JDC,21,6,12,80.0%,87.6,1.37,1.37,,,4,,
923,Unique,dukefissura,25,7,18,84.0%,115.0,1.50,1.50,25,115.0,7,,
924,SAW,rmn,23,8,17,77.8%,89.1,1.40,1.40,23,,,,
925,Valors,robby,20,3,18,70.8%,98.4,1.29,,,,,,4
926,Detonate,Delta9,12,3,16,61.1%,80.8,0.97,,,,,,
927,Northern Forces,D4rtyMontana,14,1,16,63.6%,80.4,0.95,,,,,,
928,ONET4P,Elk,23,5,18,82.1%,83.7,1.34,1.34,,,,,
929,Strife,J0LZ,26,7,22,73.3%,101.5,1.27,,26,101.5,7,,
930,Valors,droid,16,4,18,65.2%,68.9,0.98,,,,,,5
931,X13,aris,26,9,19,80.0%,98.9,1.38,1.38,26,98.9,,,5
932,eXploit,Stepa,22,3,14,89.7%,73.9,1.39,1.39,,,,,5
933,GameAgents,bajmi,20,1,19,56.0%,92.2,1.08,,,,,,
934,VELOX,TiN,28,1,18,66.7%,104.1,1.39,,28,,,,
935,VERTEX,ADDICT,22,7,12,88.9%,87.9,1.42,1.42,22,87.9,,,
936,VERTEX,ADDICT,26,3,24,55.6%,67.3,1.03,,,,,,
937,LookingForOrg,Liki,19,6,19,73.3%,81.9,1.21,,,,,,
938,LookingForOrg,Liki,17,1,17,58.3%,86.8,1.11,,,,,,
939,VERTEX,pz,21,8,17,59.3%,81.8,1.19,,,,,,
940,VERTEX,BRACE,32,7,27,69.4%,97.8,1.17,,,,,,
941,Overt,damyo,13,5,15,70.8%,62.7,0.99,,,,,,
942,ViCi,aumaN,27,8,16,91.3%,140.1,2.06,2.06,27,140.1,8,,8
943,TYLOO,SLOWLY,18,5,20,68.0%,81.8,1.00,,,,,,
944,TYLOO,SLOWLY,15,6,21,72.0%,89.7,1.06,,,,6,,5
945,Eros,BeaKie,36,6,20,76.5%,110.9,1.61,1.61,36,110.9,,,
946,Party Astronauts,cynic,18,6,14,85.0%,110.0,1.51,1.51,,110.0,,,
947,Paying Myself,ERIC,26,6,22,78.6%,110.9,1.47,1.47,,110.9,6,,
948,Vitality,misutaaa,24,3,8,85.0%,131.6,2.01,2.01,24,131.6,,,
949,Vitality,apEX,24,6,9,84.2%,146.5,2.11,2.11,24,146.5,5,,
